ServCode;latitude;longitude;conceptKeyword;VarCode;VarName;datatype;valuetype,sample medium;Sitename;ValueCount;Organization
NWISDV; 39.94642897; -86.2602702; Nitrogen, nitrate (NO3); NWISDV:99137/DataType=MAXIMUM; Nitrate, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; EAGLE CREEK AT ZIONSVILLE, IN; 1690; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 1279; U.S. Geological Survey (USGS)
NWISDV; 19.65807505; -155.1194524; Phosphorus; NWISDV:00665/DataType=MEAN; Phosphorus, water, unfiltered, milligrams per liter as phosphorus; average; Field Observation; SurfaceWater; Waiakea Stream at Hoaka Road, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 40.47277778; -88.8797222; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL; 1065; U.S. Geological Survey (USGS)
NWISDV; 41.2997222; -88.6141667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; ILLINOIS RIVER AT SENECA, IL; 1082; U.S. Geological Survey (USGS)
NWISDV; 38.7236111; -87.6644444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; EMBARRAS RIVER AT LAWRENCEVILLE, IL; 489; U.S. Geological Survey (USGS)
NWISDV; 40.10087009; -87.5972419; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; VERMILION RIVER NEAR DANVILLE, IL; 487; U.S. Geological Survey (USGS)
NWISDV; 39.54638889; -89.435; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; CLEAR CREEK NEAR JEISYVILLE, IL; 179; U.S. Geological Survey (USGS)
NWISDV; 37.7583333; -89.3277778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL; 401; U.S. Geological Survey (USGS)
NWISDV; 38.7236111; -87.6644444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; EMBARRAS RIVER AT LAWRENCEVILLE, IL; 489; U.S. Geological Survey (USGS)
NWISDV; 40.16416667; -88.0275; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; SPOON RIVER NEAR ST. JOSEPH, IL; 997; U.S. Geological Survey (USGS)
NWISDV; 41.5; -88.1069444; Colored dissolved organic matter; NWISDV:32289/DataType=MEAN; Colored dissolved organic matter (CDOM), in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm, milligrams per liter; average; Field Observation; Unknown; DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL; 337; U.S. Geological Survey (USGS)
NWISDV; 40.4628611; -88.8771667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; KICKAPOO CR TRIB NR LONGFIELD RD NR BLOOMINGTON,IL; 315; U.S. Geological Survey (USGS)
NWISDV; 39.8725833; -86.3615278; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN; 524; U.S. Geological Survey (USGS)
NWISDV; 41.2997222; -88.6141667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT SENECA, IL; 1091; U.S. Geological Survey (USGS)
NWISDV; 40.4583333; -88.8775; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK NEAR BLOOMINGTON, IL; 1241; U.S. Geological Survey (USGS)
NWISDV; 38.09226857; -88.1561487; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; LITTLE WABASH RIVER AT MAIN ST AT CARMI, IL; 370; U.S. Geological Survey (USGS)
NWISDV; 40.72277778; -88.53; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; INDIAN CREEK NEAR FAIRBURY, IL; 1404; U.S. Geological Survey (USGS)
NWISDV; 41.3347222; -89.3819444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; EAST BUREAU CREEK NEAR BUREAU, IL; 238; U.S. Geological Survey (USGS)
NWISDV; 19.70725; -155.0817222; Phosphorus; NWISDV:00665/DataType=MEAN; Phosphorus, water, unfiltered, milligrams per liter as phosphorus; average; Field Observation; SurfaceWater; Waiakea Stream at Hilo, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 1576; U.S. Geological Survey (USGS)
NWISDV; 19.70725; -155.0817222; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:00631/DataType=MEAN; Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; Waiakea Stream at Hilo, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 40.4583333; -88.8775; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; KICKAPOO CREEK NEAR BLOOMINGTON, IL; 1235; U.S. Geological Survey (USGS)
NWISDV; 41.3347222; -89.3819444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; EAST BUREAU CREEK NEAR BUREAU, IL; 241; U.S. Geological Survey (USGS)
NWISDV; 37.7583333; -89.3277778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL; 401; U.S. Geological Survey (USGS)
NWISDV; 39.8725833; -86.3615278; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN; 528; U.S. Geological Survey (USGS)
NWISDV; 38.3197222; -89.8886111; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; KASKASKIA RIVER AT NEW ATHENS, IL; 460; U.S. Geological Survey (USGS)
NWISDV; 39.659075; -89.6589361; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; SUGAR CREEK NEAR CHATHAM, IL; 586; U.S. Geological Survey (USGS)
